wavenumber,s1t1,s1t2,s1t3,s2t1,s2t2,s2t3,s3t1,s3t2,s3t3,s4t1,s4t2,s4t3,s5t1,s5t2,s5t3,s6t1,s6t2,s6t3,s7t1,s7t2,s7t3,s8t1,s8t2,s8t3,s9t1,s9t2,s9t3,s10t1,s10t2,s10t3,s11t1,s11t2,s11t3,s12t1,s12t2,s12t3,s13t1,s13t2,s13t3
3.996748E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
4.001569E+02,1.931197E-01,1.765026E-01,1.743783E-01,1.460365E-01,2.219194E-01,1.473410E-01,2.006540E-01,2.436502E-01,2.320767E-01,1.849792E-01,2.192706E-01,2.074996E-01,1.383785E-01,1.729949E-01,1.090991E-01,5.094302E-02,4.344871E-02,9.175631E-02,1.231583E-01,1.983293E-01,1.513621E-01,1.695668E-01,1.387431E-01,1.629021E-01,1.905021E-01,2.457159E-01,2.437965E-01,1.488475E-01,1.921990E-01,2.717670E-01,6.156131E-02,8.325674E-02,1.327319E-01,4.370722E-02,7.407054E-02,8.237565E-02,1.019952E-01,3.702331E-02,8.020744E-02
4.006390E+02,1.849076E-01,1.783027E-01,1.766949E-01,1.521627E-01,2.282229E-01,1.558553E-01,2.070275E-01,2.478160E-01,2.425133E-01,1.822378E-01,2.122472E-01,2.034288E-01,1.378147E-01,1.745827E-01,1.082697E-01,5.767065E-02,4.807002E-02,9.256796E-02,1.191505E-01,1.887940E-01,1.493985E-01,1.711192E-01,1.393548E-01,1.646999E-01,1.950170E-01,2.500298E-01,2.476651E-01,1.533808E-01,1.993282E-01,2.695483E-01,6.138110E-02,8.481370E-02,1.227801E-01,5.033604E-02,7.685617E-02,8.436264E-02,1.047397E-01,3.773176E-02,8.392692E-02
4.011211E+02,1.764330E-01,1.790662E-01,1.771754E-01,1.571727E-01,2.322638E-01,1.617147E-01,2.114924E-01,2.510378E-01,2.507554E-01,1.776003E-01,2.075341E-01,1.994700E-01,1.356156E-01,1.720557E-01,1.047063E-01,6.259891E-02,4.844627E-02,8.955717E-02,1.138743E-01,1.784397E-01,1.481751E-01,1.714314E-01,1.400658E-01,1.649056E-01,1.994084E-01,2.532861E-01,2.502081E-01,1.565550E-01,2.036769E-01,2.666687E-01,6.147037E-02,8.402043E-02,1.118492E-01,5.490196E-02,7.756355E-02,8.442690E-02,1.052801E-01,3.762100E-02,8.581424E-02
4.016032E+02,1.680170E-01,1.777070E-01,1.756807E-01,1.594833E-01,2.312793E-01,1.635842E-01,2.124972E-01,2.520573E-01,2.542008E-01,1.702013E-01,2.037024E-01,1.941150E-01,1.305344E-01,1.638218E-01,9.821551E-02,6.487219E-02,4.489928E-02,8.316921E-02,1.077719E-01,1.674022E-01,1.469548E-01,1.682712E-01,1.393938E-01,1.613836E-01,2.007334E-01,2.531331E-01,2.490757E-01,1.570006E-01,2.031258E-01,2.605612E-01,6.148835E-02,8.081102E-02,1.012810E-01,5.722547E-02,7.663266E-02,8.259368E-02,1.030187E-01,3.650050E-02,8.447560E-02
4.020854E+02,1.606507E-01,1.742515E-01,1.731854E-01,1.586518E-01,2.246896E-01,1.615533E-01,2.101457E-01,2.508502E-01,2.527381E-01,1.607178E-01,2.000677E-01,1.871698E-01,1.227577E-01,1.508389E-01,8.969928E-02,6.433226E-02,3.873729E-02,7.513011E-02,1.017408E-01,1.565403E-01,1.453006E-01,1.609281E-01,1.366253E-01,1.537558E-01,1.976702E-01,2.497500E-01,2.439393E-01,1.545481E-01,1.976807E-01,2.507534E-01,6.129516E-02,7.619064E-02,9.286309E-02,5.766331E-02,7.506752E-02,7.994420E-02,9.865408E-02,3.477700E-02,7.987136E-02
4.025675E+02,1.555720E-01,1.699701E-01,1.713319E-01,1.557714E-01,2.145780E-01,1.572624E-01,2.063297E-01,2.487182E-01,2.489573E-01,1.511974E-01,1.968964E-01,1.797475E-01,1.139888E-01,1.362702E-01,8.094099E-02,6.176975E-02,3.182616E-02,6.774458E-02,9.684350E-02,1.471430E-01,1.433118E-01,1.508174E-01,1.322369E-01,1.437711E-01,1.913196E-01,2.456482E-01,2.366856E-01,1.504073E-01,1.895499E-01,2.392457E-01,6.110358E-02,7.184661E-02,8.804884E-02,5.707917E-02,7.408512E-02,7.814673E-02,9.388027E-02,3.324796E-02,7.353213E-02
4.030496E+02,1.538473E-01,1.667553E-01,1.716991E-01,1.527507E-01,2.042283E-01,1.529479E-01,2.036619E-01,2.474710E-01,2.465244E-01,1.440198E-01,1.949834E-01,1.734845E-01,1.065495E-01,1.238003E-01,7.392168E-02,5.859180E-02,2.596905E-02,6.299887E-02,9.396031E-02,1.404151E-01,1.415113E-01,1.405971E-01,1.275246E-01,1.342548E-01,1.842488E-01,2.440035E-01,2.301393E-01,1.463923E-01,1.817476E-01,2.291671E-01,6.132260E-02,6.947009E-02,8.753701E-02,5.655506E-02,7.470697E-02,7.876049E-02,9.057508E-02,3.273213E-02,6.779771E-02
4.035317E+02,1.559111E-01,1.662065E-01,1.750236E-01,1.511526E-01,1.962210E-01,1.501809E-01,2.040360E-01,2.482490E-01,2.480429E-01,1.408043E-01,1.949635E-01,1.696193E-01,1.022255E-01,1.159208E-01,7.002361E-02,5.617527E-02,2.234180E-02,6.182548E-02,9.348006E-02,1.369652E-01,1.404762E-01,1.327631E-01,1.238377E-01,1.276336E-01,1.788915E-01,2.467331E-01,2.264106E-01,1.438126E-01,1.764294E-01,2.229865E-01,6.226561E-02,7.005265E-02,9.103873E-02,5.694632E-02,7.736423E-02,8.253333E-02,8.989742E-02,3.365374E-02,6.467518E-02
4.040138E+02,1.613778E-01,1.688710E-01,1.808853E-01,1.513218E-01,1.912466E-01,1.491409E-01,2.077246E-01,2.508453E-01,2.537796E-01,1.417345E-01,1.967863E-01,1.683969E-01,1.014816E-01,1.131092E-01,6.955389E-02,5.526494E-02,2.128807E-02,6.393789E-02,9.520464E-02,1.365936E-01,1.404511E-01,1.284759E-01,1.218551E-01,1.248430E-01,1.762432E-01,2.534930E-01,2.258612E-01,1.427711E-01,1.739743E-01,2.213150E-01,6.388903E-02,7.356569E-02,9.745906E-02,5.854524E-02,8.178073E-02,8.909786E-02,9.185693E-02,3.587132E-02,6.499697E-02
4.044959E+02,1.690426E-01,1.741754E-01,1.877955E-01,1.523842E-01,1.883285E-01,1.488274E-01,2.134322E-01,2.538128E-01,2.617492E-01,1.457126E-01,1.996687E-01,1.691776E-01,1.035767E-01,1.142740E-01,7.185850E-02,5.594252E-02,2.258318E-02,6.818288E-02,9.844338E-02,1.384185E-01,1.411956E-01,1.275274E-01,1.214749E-01,1.253944E-01,1.758275E-01,2.618119E-01,2.272122E-01,1.423078E-01,1.732633E-01,2.229580E-01,6.579045E-02,7.910220E-02,1.051134E-01,6.107490E-02,8.709906E-02,9.705326E-02,9.548007E-02,3.877656E-02,6.842908E-02
4.049781E+02,1.770032E-01,1.805284E-01,1.937062E-01,1.527600E-01,1.856050E-01,1.477482E-01,2.188637E-01,2.552137E-01,2.685983E-01,1.507173E-01,2.024075E-01,1.707837E-01,1.068953E-01,1.173637E-01,7.551825E-02,5.770349E-02,2.565080E-02,7.302685E-02,1.021798E-01,1.411171E-01,1.420185E-01,1.285367E-01,1.219194E-01,1.276275E-01,1.761065E-01,2.681074E-01,2.281937E-01,1.409703E-01,1.724223E-01,2.253970E-01,6.740890E-02,8.517637E-02,1.121466E-01,6.380198E-02,9.216916E-02,1.043388E-01,9.921917E-02,4.154588E-02,7.364628E-02
4.054602E+02,1.832459E-01,1.860224E-01,1.969690E-01,1.512075E-01,1.816439E-01,1.449679E-01,2.220270E-01,2.538603E-01,2.715413E-01,1.547297E-01,2.040505E-01,1.721462E-01,1.098045E-01,1.204577E-01,7.892743E-02,5.981728E-02,2.981147E-02,7.723062E-02,1.054329E-01,1.434119E-01,1.420849E-01,1.297258E-01,1.221964E-01,1.295796E-01,1.755246E-01,2.697286E-01,2.269187E-01,1.377882E-01,1.700084E-01,2.261064E-01,6.836598E-02,9.034856E-02,1.171835E-01,6.587566E-02,9.602119E-02,1.091302E-01,1.017187E-01,4.355492E-02,7.898732E-02
4.059423E+02,1.862071E-01,1.891433E-01,1.970438E-01,1.475759E-01,1.762483E-01,1.407091E-01,2.222157E-01,2.500698E-01,2.698295E-01,1.564751E-01,2.043995E-01,1.727770E-01,1.113593E-01,1.225659E-01,8.081545E-02,6.169469E-02,3.443106E-02,8.025610E-02,1.075172E-01,1.444349E-01,1.407700E-01,1.296604E-01,1.215449E-01,1.297452E-01,1.733105E-01,2.664313E-01,2.228859E-01,1.328647E-01,1.657529E-01,2.236223E-01,6.871369E-02,9.370217E-02,1.197245E-01,6.667677E-02,9.819436E-02,1.105412E-01,1.023569E-01,4.465898E-02,8.307970E-02
4.064244E+02,1.855130E-01,1.895805E-01,1.948011E-01,1.429854E-01,1.706065E-01,1.362652E-01,2.204500E-01,2.455445E-01,2.652422E-01,1.560482E-01,2.041409E-01,1.729950E-01,1.118219E-01,1.240835E-01,8.085720E-02,6.320110E-02,3.909429E-02,8.241831E-02,1.083505E-01,1.440951E-01,1.379969E-01,1.280254E-01,1.198461E-01,1.278451E-01,1.699379E-01,2.606096E-01,2.173611E-01,1.273510E-01,1.606618E-01,2.183603E-01,6.893227E-02,9.523360E-02,1.203141E-01,6.614737E-02,9.891780E-02,1.091323E-01,1.015265E-01,4.526021E-02,8.550085E-02
4.069065E+02,1.818652E-01,1.880732E-01,1.917723E-01,1.390010E-01,1.663229E-01,1.330696E-01,2.185381E-01,2.421733E-01,2.604842E-01,1.544629E-01,2.042749E-01,1.735258E-01,1.122519E-01,1.261633E-01,7.957111E-02,6.460193E-02,4.359756E-02,8.441041E-02,1.083242E-01,1.428725E-01,1.341766E-01,1.255001E-01,1.175028E-01,1.246190E-01,1.665307E-01,2.554134E-01,2.123587E-01,1.226130E-01,1.561331E-01,2.119083E-01,6.957936E-02,9.554629E-02,1.199920E-01,6.469706E-02,9.879125E-02,1.063413E-01,1.001551E-01,4.599568E-02,8.666520E-02
